id,org,village,block,district_raw,district,state,matched_name,status,lat,lon
p0000,Lipok,Mharola,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Mharola,exact,19.715705425584922,75.27016855719273
p0001,Lipok,Shekta,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Shekta,exact-block,19.67123589939241,75.25432627840537
p0002,Lipok,Tondoli,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Tondoli,exact,19.634097589463803,75.2897495271357
p0003,Lipok,Tekadi Tanda,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Tekadi Tanda,exact,19.661003265047775,75.42954343426119
p0004,Lipok,Dongaon Tanda,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Porgaon Tanda,fuzzy,19.678392963190493,75.42338258699921
p0005,Lipok,Dongrunaik Tanda,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Dongri Naik Tanda,fuzzy,19.692507677627965,75.4152704289376
p0006,Lipok,Ranjangaon,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Ranjani,exact-block,19.709522589948392,75.23326072984689
p0007,Lipok,Gidhada,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Gidhada,exact,19.68206290127306,75.27679575829453
p0008,Lipok,Paithankheda,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Paithan kheda,fuzzy,19.745565954141572,75.24626963991416
p0009,Lipok,Nilajgaon,Paithan,Chhatrapati Sambhaji Nagar,Aurangabad,Maharashtra,Nilajgaon,exact,19.73059423071007,75.3760610626734
p0010,Goonj,Konawadi,Kalyan,Thane,Thane,Maharashtra,,block-centroid,19.300403966073976,73.2531613855051
p0011,Goonj,Takali,Latur,Latur,Latur,Maharashtra,Takli,exact,17.98157923997255,76.83344638524424
p0012,Goonj,Wakichamal,Jawhar,Palghar,Palghar,Maharashtra,,block-centroid,19.9826057998542,73.22075891571944
p0013,Goonj,kadgaon,Latur,Palghar,Palghar,Maharashtra,,block-centroid,18.39828631924789,76.467231787798
